match_id,date,season,home,away,home_goals,home_conceded,home_xg,home_npxg,home_poss,home_pass_acc,home_yellow_cards,home_red_cards,home_clearances,home_xg_l3,home_xg_l5,home_xg_l10,home_xg_exp80,home_npxg_l3,home_npxg_l5,home_npxg_l10,home_npxg_exp80,home_poss_l3,home_poss_l5,home_poss_l10,home_poss_exp80,home_pass_acc_l3,home_pass_acc_l5,home_pass_acc_l10,home_pass_acc_exp80,home_gf_sum_l3,home_gf_sum_l5,home_gf_sum_l10,home_ga_sum_l3,home_ga_sum_l5,home_ga_sum_l10,home_yellow_cards_sum_l3,home_yellow_cards_sum_l5,home_yellow_cards_sum_l10,home_red_cards_sum_l3,home_red_cards_sum_l5,home_red_cards_sum_l10,home_clearances_sum_l3,home_clearances_sum_l5,home_clearances_sum_l10,away_goals,away_conceded,away_xg,away_npxg,away_poss,away_pass_acc,away_yellow_cards,away_red_cards,away_clearances,away_xg_l3,away_xg_l5,away_xg_l10,away_xg_exp80,away_npxg_l3,away_npxg_l5,away_npxg_l10,away_npxg_exp80,away_poss_l3,away_poss_l5,away_poss_l10,away_poss_exp80,away_pass_acc_l3,away_pass_acc_l5,away_pass_acc_l10,away_pass_acc_exp80,away_gf_sum_l3,away_gf_sum_l5,away_gf_sum_l10,away_ga_sum_l3,away_ga_sum_l5,away_ga_sum_l10,away_yellow_cards_sum_l3,away_yellow_cards_sum_l5,away_yellow_cards_sum_l10,away_red_cards_sum_l3,away_red_cards_sum_l5,away_red_cards_sum_l10,away_clearances_sum_l3,away_clearances_sum_l5,away_clearances_sum_l10,result,home_xg_diff,home_npxg_diff,home_poss_diff,home_pass_acc_diff,home_xg_l3_diff,home_xg_l5_diff,home_xg_l10_diff,home_xg_exp80_diff,home_npxg_l3_diff,home_npxg_l5_diff,home_npxg_l10_diff,home_npxg_exp80_diff,home_poss_l3_diff,home_poss_l5_diff,home_poss_l10_diff,home_poss_exp80_diff,home_pass_acc_l3_diff,home_pass_acc_l5_diff,home_pass_acc_l10_diff,home_pass_acc_exp80_diff
20220814_Ajaccio_Lens,2022-08-14 13:00:00,2022,Ajaccio,Lens,0,0,0.707316,0.707316,0.36,0.7140000000000001,5.0,0.0,21.0,1.13852,1.13852,1.13852,1.13852,0.378421,0.378421,0.378421,0.378421,0.33,0.33,0.33,0.33,0.72,0.72,0.72,0.72,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,6.0,1.0,1.0,1.0,8.0,8.0,8.0,0,0,1.02754,1.02754,0.64,0.8290000000000001,2.0,0.0,16.0,1.5602433333333332,1.515376,1.4939764,2.7386595972410235,1.3068766666666665,1.363356,1.1899506,2.1305251022559197,0.54,0.504,0.4680000000000001,0.5689260138121943,0.7933333333333333,0.8197999999999999,0.7891999999999999,0.8190882980923893,3.0,4.0,14.0,5.0,10.0,15.0,7.0,12.0,28.0,0.0,1.0,4.0,46.0,68.0,227.0,0,-0.32022399999999995,-0.32022399999999995,-0.28,-0.11499999999999999,-0.42172333333333323,-0.3768560000000001,-0.3554564,-1.6001395972410235,-0.9284556666666665,-0.984935,-0.8115296,-1.7521041022559198,-0.21000000000000002,-0.174,-0.13800000000000007,-0.2389260138121943,-0.07333333333333336,-0.09979999999999989,-0.06919999999999993,-0.09908829809238928
20220826_Ajaccio_Lille,2022-08-26 19:00:00,2022,Ajaccio,Lille,1,3,0.513092,0.513092,0.42,0.711,3.0,0.0,9.0,1.0961753333333333,1.0961753333333333,1.0961753333333333,1.31286336,0.5894436666666666,0.5894436666666666,0.5894436666666666,0.6743826,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.4308,0.7060000000000001,0.7060000000000001,0.7060000000000001,0.69024,2.0,2.0,2.0,4.0,4.0,4.0,13.0,13.0,13.0,1.0,1.0,1.0,39.0,39.0,39.0,3,1,1.80552,1.04543,0.58,0.815,2.0,0.0,30.0,1.7792466666666666,1.5600726,1.3386972,1.6613290811950778,1.779246666666667,1.4080526,1.1866781,1.6562698578990778,0.5866666666666666,0.556,0.5509999999999999,0.5169529868221986,0.8673333333333333,0.851,0.8438000000000001,0.8841002989998881,6.0,8.0,19.0,9.0,10.0,13.0,8.0,11.0,23.0,0.0,0.0,0.0,42.0,71.0,158.0,-1,-1.2924280000000001,-0.5323380000000001,-0.15999999999999998,-0.10399999999999998,-0.6830713333333334,-0.46389726666666675,-0.24252186666666664,-0.3484657211950779,-1.1898030000000004,-0.8186089333333334,-0.5972344333333334,-0.9818872578990777,-0.2066666666666665,-0.176,-0.17099999999999987,-0.08615298682219857,-0.16133333333333322,-0.1449999999999999,-0.13780000000000003,-0.1938602989998881
20220904_Ajaccio_Lorient,2022-09-04 13:00:00,2022,Ajaccio,Lorient,0,1,0.520351,0.520351,0.58,0.757,4.0,0.0,10.0,0.9499943333333335,0.9391638,0.9391638,0.8499700544,0.696629,0.6351248,0.6351248,0.824430824,0.49666666666666665,0.43599999999999994,0.43599999999999994,0.580432,0.7370000000000001,0.729,0.729,0.7941696,2.0,3.0,3.0,7.0,9.0,9.0,9.0,20.0,20.0,1.0,2.0,2.0,28.0,57.0,57.0,1,0,0.509049,0.509049,0.42,0.6970000000000001,1.0,0.0,34.0,2.626946666666667,1.8216846,1.7140222999999999,1.8142330645652711,1.8668533333333335,1.3656286000000002,1.3339751,1.6437702174894837,0.43333333333333335,0.43200000000000005,0.4149999999999999,0.41847964402274274,0.8263333333333334,0.8145999999999999,0.7986,0.8328539476852662,6.0,8.0,19.0,8.0,9.0,18.0,5.0,7.0,15.0,0.0,0.0,1.0,55.0,87.0,187.0,-1,0.011302000000000034,0.011302000000000034,0.15999999999999998,0.05999999999999994,-1.6769523333333334,-0.8825208,-0.7748584999999999,-0.9642630101652712,-1.1702243333333335,-0.7305038000000001,-0.6988502999999999,-0.8193393934894837,0.0633333333333333,0.0039999999999998925,0.02100000000000002,0.1619523559772572,-0.08933333333333326,-0.0855999999999999,-0.0696,-0.038684347685266185
20220911_Ajaccio_Nice,2022-09-11 13:00:00,2022,Ajaccio,Nice,0,1,0.427838,0.427838,0.45,0.7120000000000001,1.0,0.0,10.0,0.642548,0.8155300000000001,0.8693616666666667,0.58627481088,0.642548,0.6635108000000001,0.6159958333333333,0.5811669648,0.54,0.48599999999999993,0.45999999999999996,0.5800863999999999,0.7613333333333333,0.7363999999999999,0.7336666666666667,0.76443392,1.0,2.0,3.0,6.0,8.0,10.0,11.0,18.0,24.0,1.0,1.0,2.0,28.0,59.0,67.0,1,0,1.0495,1.0495,0.55,0.8029999999999999,5.0,0.0,17.0,1.1566340000000002,1.3222944,1.2489652000000002,1.1883100455091502,0.6499052000000001,0.8662373200000001,1.02093666,0.9441072942901466,0.4633333333333334,0.492,0.5250000000000001,0.4966821863827667,0.797,0.8146000000000001,0.8321999999999999,0.8041574925155248,2.0,3.0,10.0,5.0,7.0,16.0,7.0,10.0,20.0,0.0,2.0,4.0,57.0,85.0,141.0,-1,-0.6216620000000002,-0.6216620000000002,-0.10000000000000003,-0.09099999999999986,-0.5140860000000002,-0.5067644,-0.3796035333333335,-0.6020352346291502,-0.007357200000000064,-0.20272652000000002,-0.40494082666666675,-0.36294032949014665,0.07666666666666666,-0.006000000000000061,-0.06500000000000017,0.08340421361723321,-0.035666666666666735,-0.07820000000000016,-0.09853333333333325,-0.03972357251552483
20221002_Ajaccio_Clermont Foot,2022-10-02 13:00:00,2022,Ajaccio,Clermont Foot,1,3,1.28297,1.28297,0.52,0.763,3.0,0.0,17.0,0.4866993333333333,0.5734782,0.7694896250000001,0.5014322724351999,0.4866993333333333,0.5734782,0.5794652499999999,0.501227958592,0.48,0.4959999999999999,0.4525,0.423203456,0.7040000000000001,0.7278,0.719625,0.6588973568000001,1.0,2.0,4.0,2.0,7.0,11.0,7.0,14.0,27.0,0.0,1.0,2.0,45.0,63.0,102.0,3,1,1.29246,1.29246,0.48,0.765,3.0,0.0,23.0,1.2421586666666666,0.8646252000000001,0.8496795,1.2113955078656,1.2421586666666666,0.8646252000000001,0.7546673749999999,1.2113565908992,0.4966666666666666,0.49799999999999994,0.49124999999999996,0.56956544,0.762,0.7756000000000001,0.8023750000000001,0.7964293120000001,3.0,4.0,9.0,3.0,6.0,13.0,6.0,11.0,17.0,0.0,1.0,1.0,62.0,88.0,130.0,-1,-0.009489999999999998,-0.009489999999999998,0.040000000000000036,-0.0020000000000000018,-0.7554593333333333,-0.29114700000000004,-0.08018987499999997,-0.7099632354304001,-0.7554593333333333,-0.29114700000000004,-0.175202125,-0.7101286323071999,-0.016666666666666607,-0.0020000000000000573,-0.03874999999999995,-0.146361984,-0.05799999999999994,-0.047800000000000065,-0.0827500000000001,-0.13753195520000006
20221021_Ajaccio_Paris Saint Germain,2022-10-21 19:00:00,2022,Ajaccio,Paris Saint Germain,0,3,0.301593,0.301593,0.35,0.773,0.0,0.0,12.0,1.09446,0.8446254,0.8300777,1.5403320981794817,0.8410933333333332,0.6926054,0.6780581,0.932250463668736,0.4566666666666667,0.446,0.466,0.469625627648,0.742,0.7162,0.7263,0.7636071788544,4.0,5.0,7.0,5.0,6.0,14.0,6.0,9.0,27.0,0.0,0.0,1.0,64.0,99.0,158.0,3,0,2.90657,2.90657,,,,,,1.6060289999999997,1.6714213999999998,2.6216367000000003,2.6071254977441347,1.6060290000000002,1.6714213999999998,2.3936087,2.607117076286693,,,,,,,,,3.0,5.0,24.0,1.0,1.0,5.0,,,,,,,,,,-1,-2.604977,-2.604977,,,-0.5115689999999997,-0.8267959999999999,-1.7915590000000003,-1.066793399564653,-0.7649356666666669,-0.9788159999999998,-1.7155506000000003,-1.674866612617957,,,,,,,,
20221105_Ajaccio_Strasbourg,2022-11-05 16:00:00,2022,Ajaccio,Strasbourg,4,2,3.68734,1.40705,0.49,0.77,0.0,1.0,21.0,0.8793586666666667,0.8170412,0.6952597,0.5100545639271793,0.625992,0.6650212,0.6192497,0.48573129854674946,0.4766666666666666,0.462,0.479,0.54678502510592,0.7869999999999999,0.7612,0.7445,0.7998242871541761,1.0,4.0,6.0,5.0,9.0,16.0,2.0,7.0,21.0,1.0,1.0,2.0,54.0,93.0,156.0,2,4,0.670138,0.670138,0.51,0.773,4.0,0.0,11.0,0.9631350000000007,1.3846709999999998,1.4714117,1.005668741531394,0.6592840000000003,1.0503419999999999,1.2282382,0.8588395604495982,0.4866666666666668,0.4640000000000001,0.47000000000000003,0.5085714551554493,0.7629999999999999,0.7776,0.764,0.7827850804189754,4.0,8.0,11.0,7.0,12.0,17.0,4.0,5.0,15.0,0.0,1.0,3.0,46.0,76.0,176.0,1,3.0172019999999997,0.7369119999999999,-0.020000000000000018,-0.0030000000000000027,-0.08377633333333401,-0.5676297999999997,-0.776152,-0.4956141776042148,-0.03329200000000032,-0.3853207999999999,-0.6089885,-0.37310826190284874,-0.010000000000000175,-0.0020000000000000573,0.008999999999999952,0.03821356995047065,0.02400000000000002,-0.01639999999999997,-0.019499999999999962,0.01703920673520065
20221228_Ajaccio_Angers,2022-12-28 14:00:00,2022,Ajaccio,Angers,1,0,1.68567,0.925572,0.46,0.7509999999999999,1.0,0.0,21.0,2.1987443333333334,1.7468152,1.1641304,2.537304582557087,1.1852843333333334,0.9867191999999999,0.7840824,1.5634132519418702,0.5166666666666667,0.47800000000000004,0.471,0.47627140100423676,0.763,0.7686000000000001,0.74,0.7247929714861672,6.0,7.0,11.0,5.0,9.0,15.0,5.0,6.0,18.0,2.0,2.0,2.0,64.0,101.0,185.0,0,1,2.13447,2.13447,0.54,0.784,0.0,0.0,16.0,0.5714686666666666,0.8316316,1.3216212999999999,0.5137220802078364,0.5714686666666666,0.8316316,1.2456113,0.5137204612561359,0.4466666666666666,0.418,0.437,0.424422502220076,0.8086666666666668,0.7779999999999999,0.7897000000000001,0.7850859931058151,1.0,4.0,9.0,5.0,10.0,22.0,5.0,10.0,18.0,0.0,0.0,1.0,41.0,68.0,149.0,1,-0.44879999999999987,-1.208898,-0.08000000000000002,-0.03300000000000014,1.6272756666666668,0.9151835999999999,-0.1574909,2.0235825023492504,0.6138156666666668,0.15508759999999988,-0.4615289,1.0496927906857343,0.07000000000000012,0.06000000000000005,0.033999999999999975,0.05184889878416077,-0.045666666666666744,-0.009399999999999853,-0.04970000000000008,-0.06029302161964789
20230111_Ajaccio_Reims,2023-01-11 18:00:00,2022,Ajaccio,Reims,0,1,0.812868,0.812868,0.48,0.657,3.0,0.0,8.0,1.3796102999999997,1.6652807799999998,1.24232859,0.40680010330228344,0.8728809666666666,0.9051851799999999,0.7862707899999999,0.24622877007767477,0.4366666666666667,0.4779999999999999,0.45199999999999996,0.3966508560401695,0.7113333333333333,0.7422,0.7353,0.6859517188594466,3.0,7.0,12.0,4.0,7.0,15.0,6.0,7.0,15.0,0.0,2.0,2.0,62.0,100.0,201.0,1,0,1.16269,1.16269,0.52,0.715,3.0,0.0,27.0,1.578266666666667,1.8854658,1.5988681,1.3021016730191657,1.578266666666667,1.7334458000000001,1.5228581,1.297237030488652,0.41333333333333333,0.45999999999999996,0.438,0.38716469444960827,0.726,0.7408,0.7459,0.766988807930805,5.0,6.0,10.0,3.0,3.0,9.0,5.0,8.0,23.0,0.0,0.0,4.0,59.0,92.0,193.0,-1,-0.34982199999999997,-0.34982199999999997,-0.040000000000000036,-0.05799999999999994,-0.1986563666666672,-0.22018502000000018,-0.35653950999999995,-0.8953015697168822,-0.7053857000000003,-0.8282606200000002,-0.7365873100000002,-1.0510082604109772,0.023333333333333373,0.01799999999999996,0.013999999999999957,0.009486161590561204,-0.014666666666666717,0.0013999999999999568,-0.010600000000000054,-0.08103708907135843
20230129_Ajaccio_Lyon,2023-01-29 16:05:00,2022,Ajaccio,Lyon,0,2,1.44596,1.44596,0.51,0.705,2.0,0.0,8.0,0.35764996666666665,1.03345598,1.16568559,0.3187956841320913,0.3576499666666666,0.72941838,0.70962779,0.31237283080310696,0.4033333333333333,0.42800000000000005,0.442,0.3726660342416067,0.6923333333333334,0.708,0.7353,0.7317580687543779,1.0,4.0,11.0,10.0,12.0,20.0,6.0,11.0,15.0,0.0,0.0,2.0,44.0,91.0,188.0,2,0,2.02729,2.02729,0.49,0.726,3.0,0.0,15.0,1.3070090000000003,1.6524714,1.6155695,2.1350843307735805,1.0536423333333338,1.1964130000000002,1.3875403,1.5211667730134197,0.64,0.6239999999999999,0.59,0.6958209827602659,0.8489999999999999,0.8478000000000001,0.8295999999999999,0.8421287374653227,1.0,6.0,12.0,3.0,6.0,12.0,5.0,8.0,18.0,0.0,0.0,1.0,44.0,69.0,144.0,-1,-0.5813299999999999,-0.5813299999999999,0.020000000000000018,-0.02100000000000002,-0.9493590333333337,-0.61901542,-0.44988391000000005,-1.8162886466414891,-0.6959923666666672,-0.46699462000000014,-0.67791251,-1.2087939422103129,-0.2366666666666667,-0.19599999999999984,-0.14799999999999996,-0.3231549485186592,-0.1566666666666665,-0.13980000000000015,-0.09429999999999994,-0.11037066871094481
