date,home,away,home_goals,away_goals,season,team,opponent,is_home,gf,ga,result,match_id,xg,npxg,poss,pass_acc,yellow_cards,red_cards,clearances
2020-08-21 17:00:00,Bordeaux,Nantes,0,0,2020,Bordeaux,Nantes,1,0,0,draw,20200821_Bordeaux_Nantes,0.600075,0.600075,44.0,82.8,2.0,1.0,29.0
2020-08-22 15:00:00,Dijon,Angers,0,1,2020,Dijon,Angers,1,0,1,loss,20200822_Dijon_Angers,0.739709,0.739709,54.0,85.8,0.0,0.0,22.0
2020-08-22 19:00:00,Lille,Rennes,1,1,2020,Lille,Rennes,1,1,1,draw,20200822_Lille_Rennes,0.400974,0.400974,52.0,82.1,0.0,1.0,10.0
2020-08-23 13:00:00,Lorient,Strasbourg,3,1,2020,Lorient,Strasbourg,1,3,1,win,20200823_Lorient_Strasbourg,3.07214,2.31211,50.0,79.4,3.0,0.0,10.0
2020-08-23 11:00:00,Monaco,Reims,2,2,2020,Monaco,Reims,1,2,2,draw,20200823_Monaco_Reims,2.67622,2.67622,75.0,88.2,1.0,0.0,5.0
2020-08-23 15:00:00,Nice,Lens,2,1,2020,Nice,Lens,1,2,1,win,20200823_Nice_Lens,0.180464,0.180464,57.0,84.6,2.0,0.0,19.0
2020-08-23 13:00:00,Nimes,Brest,4,0,2020,Nimes,Brest,1,4,0,win,20200823_Nimes_Brest,2.14597,2.14597,,,,,
2020-08-28 19:00:00,Lyon,Dijon,4,1,2020,Lyon,Dijon,1,4,1,win,20200828_Lyon_Dijon,3.97148,2.45129,63.0,84.0,3.0,0.0,5.0
2020-08-29 15:00:00,Rennes,Montpellier,2,1,2020,Rennes,Montpellier,1,2,1,win,20200829_Rennes_Montpellier,1.78715,1.78715,65.0,85.2,3.0,1.0,12.0
2020-08-29 19:00:00,Strasbourg,Nice,0,2,2020,Strasbourg,Nice,1,0,2,loss,20200829_Strasbourg_Nice,0.227899,0.227899,45.0,79.6,2.0,0.0,8.0
2020-08-30 13:00:00,Angers,Bordeaux,0,2,2020,Angers,Bordeaux,1,0,2,loss,20200830_Angers_Bordeaux,0.511549,0.511549,57.0,82.7,1.0,0.0,18.0
2020-08-30 19:00:00,Brest,Marseille,2,3,2020,Brest,Marseille,1,2,3,loss,20200830_Brest_Marseille,2.12594,2.12594,59.0,78.4,2.0,0.0,9.0
2020-08-30 13:00:00,Metz,Monaco,0,1,2020,Metz,Monaco,1,0,1,loss,20200830_Metz_Monaco,0.626118,0.626118,54.0,78.1,0.0,0.0,11.0
2020-08-30 13:00:00,Nantes,Nimes,2,1,2020,Nantes,Nimes,1,2,1,win,20200830_Nantes_Nimes,2.15547,1.39544,33.0,62.6,3.0,2.0,32.0
2020-08-30 11:00:00,Reims,Lille,0,1,2020,Reims,Lille,1,0,1,loss,20200830_Reims_Lille,0.206627,0.206627,50.0,82.3,4.0,0.0,5.0
2020-08-30 13:00:00,Saint-Etienne,Lorient,2,0,2020,Saint-Etienne,Lorient,1,2,0,win,20200830_Saint-Etienne_Lorient,1.39361,1.39361,,,,,
2020-09-10 21:00:00,Lens,Paris Saint Germain,1,0,2020,Lens,Paris Saint Germain,1,1,0,win,20200910_Lens_Paris Saint Germain,1.71747,1.71747,22.0,66.9,2.0,0.0,22.0
2020-09-11 19:00:00,Bordeaux,Lyon,0,0,2020,Bordeaux,Lyon,1,0,0,draw,20200911_Bordeaux_Lyon,0.231132,0.231132,46.0,76.5,2.0,0.0,24.0
2020-09-12 15:00:00,Montpellier,Nice,3,1,2020,Montpellier,Nice,1,3,1,win,20200912_Montpellier_Nice,1.69934,1.69934,39.0,73.3,0.0,0.0,21.0
2020-09-12 19:00:00,Saint-Etienne,Strasbourg,2,0,2020,Saint-Etienne,Strasbourg,1,2,0,win,20200912_Saint-Etienne_Strasbourg,1.76107,1.00098,,,,,
2020-09-13 13:00:00,Angers,Reims,1,0,2020,Angers,Reims,1,1,0,win,20200913_Angers_Reims,2.14867,1.38857,58.0,85.5,4.0,1.0,15.0
2020-09-13 13:00:00,Dijon,Brest,0,2,2020,Dijon,Brest,1,0,2,loss,20200913_Dijon_Brest,0.296281,0.296281,50.0,82.0,1.0,1.0,15.0
2020-09-13 11:00:00,Lille,Metz,1,0,2020,Lille,Metz,1,1,0,win,20200913_Lille_Metz,0.814528,0.814528,61.0,80.2,4.0,0.0,12.0
2020-09-13 13:00:00,Lorient,Lens,2,3,2020,Lorient,Lens,1,2,3,loss,20200913_Lorient_Lens,0.919743,0.159648,47.0,71.4,4.0,0.0,19.0
2020-09-13 15:00:00,Monaco,Nantes,2,1,2020,Monaco,Nantes,1,2,1,win,20200913_Monaco_Nantes,2.27042,2.27042,57.0,83.1,3.0,0.0,18.0
2020-09-13 13:00:00,Nimes,Rennes,2,4,2020,Nimes,Rennes,1,2,4,loss,20200913_Nimes_Rennes,1.00844,1.00844,,,,,
2020-09-13 19:00:00,Paris Saint Germain,Marseille,0,1,2020,Paris Saint Germain,Marseille,1,0,1,loss,20200913_Paris Saint Germain_Marseille,2.22184,2.22184,,,,,
2020-09-15 19:00:00,Montpellier,Lyon,2,1,2020,Montpellier,Lyon,1,2,1,win,20200915_Montpellier_Lyon,1.75168,0.991589,44.0,79.3,3.0,1.0,19.0
2020-09-16 19:00:00,Paris Saint Germain,Metz,1,0,2020,Paris Saint Germain,Metz,1,1,0,win,20200916_Paris Saint Germain_Metz,2.42357,2.42357,,,,,
2020-09-17 19:00:00,Marseille,Saint-Etienne,0,2,2020,Marseille,Saint-Etienne,1,0,2,loss,20200917_Marseille_Saint-Etienne,2.65376,2.65376,59.0,80.0,2.0,0.0,17.0
2020-09-18 19:00:00,Lyon,Nimes,0,0,2020,Lyon,Nimes,1,0,0,draw,20200918_Lyon_Nimes,1.62529,1.62529,73.0,83.7,3.0,0.0,11.0
2020-09-19 15:00:00,Lens,Bordeaux,2,1,2020,Lens,Bordeaux,1,2,1,win,20200919_Lens_Bordeaux,3.02331,2.26321,59.0,82.7,5.0,0.0,10.0
2020-09-19 19:00:00,Rennes,Monaco,2,1,2020,Rennes,Monaco,1,2,1,win,20200919_Rennes_Monaco,0.857476,0.857476,58.0,86.1,1.0,0.0,17.0
2020-09-20 13:00:00,Brest,Lorient,3,2,2020,Brest,Lorient,1,3,2,win,20200920_Brest_Lorient,1.21203,1.21203,57.0,81.9,2.0,0.0,18.0
2020-09-20 19:00:00,Marseille,Lille,1,1,2020,Marseille,Lille,1,1,1,draw,20200920_Marseille_Lille,0.865098,0.865098,56.0,75.8,3.0,0.0,7.0
2020-09-20 13:00:00,Metz,Reims,2,1,2020,Metz,Reims,1,2,1,win,20200920_Metz_Reims,1.71276,1.71276,59.0,78.7,1.0,0.0,15.0
2020-09-20 13:00:00,Montpellier,Angers,4,1,2020,Montpellier,Angers,1,4,1,win,20200920_Montpellier_Angers,1.94396,1.94396,50.0,82.8,4.0,0.0,10.0
2020-09-20 15:00:00,Nantes,Saint-Etienne,2,2,2020,Nantes,Saint-Etienne,1,2,2,draw,20200920_Nantes_Saint-Etienne,1.33579,1.33579,57.0,79.4,2.0,0.0,12.0
2020-09-20 11:00:00,Nice,Paris Saint Germain,0,3,2020,Nice,Paris Saint Germain,1,0,3,loss,20200920_Nice_Paris Saint Germain,0.930504,0.930504,50.0,89.6,1.0,0.0,16.0
2020-09-20 13:00:00,Strasbourg,Dijon,1,0,2020,Strasbourg,Dijon,1,1,0,win,20200920_Strasbourg_Dijon,2.38097,2.38097,58.0,82.5,1.0,0.0,9.0
2020-09-25 19:00:00,Lille,Nantes,2,0,2020,Lille,Nantes,1,2,0,win,20200925_Lille_Nantes,2.09387,1.33378,54.0,77.5,0.0,0.0,23.0
2020-09-26 19:00:00,Marseille,Metz,1,1,2020,Marseille,Metz,1,1,1,draw,20200926_Marseille_Metz,0.864412,0.864412,60.0,82.6,0.0,0.0,17.0
2020-09-26 15:00:00,Saint-Etienne,Rennes,0,3,2020,Saint-Etienne,Rennes,1,0,3,loss,20200926_Saint-Etienne_Rennes,0.200419,0.200419,,,,,
2020-09-27 13:00:00,Angers,Brest,3,2,2020,Angers,Brest,1,3,2,win,20200927_Angers_Brest,1.11753,1.11753,53.0,78.4,3.0,0.0,10.0
2020-09-27 11:00:00,Bordeaux,Nice,0,0,2020,Bordeaux,Nice,1,0,0,draw,20200927_Bordeaux_Nice,1.17944,1.17944,46.0,83.1,1.0,0.0,16.0
2020-09-27 13:00:00,Dijon,Montpellier,2,2,2020,Dijon,Montpellier,1,2,2,draw,20200927_Dijon_Montpellier,1.60909,1.60909,39.0,68.3,4.0,0.0,26.0
2020-09-27 15:00:00,Lorient,Lyon,1,1,2020,Lorient,Lyon,1,1,1,draw,20200927_Lorient_Lyon,0.299841,0.299841,31.0,71.2,2.0,0.0,27.0
2020-09-27 13:00:00,Monaco,Strasbourg,3,2,2020,Monaco,Strasbourg,1,3,2,win,20200927_Monaco_Strasbourg,1.56306,1.56306,57.0,80.4,3.0,2.0,21.0
2020-09-27 13:00:00,Nimes,Lens,1,1,2020,Nimes,Lens,1,1,1,draw,20200927_Nimes_Lens,0.370624,0.370624,,,,,
2020-09-27 19:00:00,Reims,Paris Saint Germain,0,2,2020,Reims,Paris Saint Germain,1,0,2,loss,20200927_Reims_Paris Saint Germain,0.208814,0.208814,36.0,82.3,2.0,0.0,19.0
2020-10-02 19:00:00,Paris Saint Germain,Angers,6,1,2020,Paris Saint Germain,Angers,1,6,1,win,20201002_Paris Saint Germain_Angers,2.9145,2.9145,,,,,
2020-10-03 15:00:00,Lens,Saint-Etienne,2,0,2020,Lens,Saint-Etienne,1,2,0,win,20201003_Lens_Saint-Etienne,2.13387,1.37384,66.0,82.6,1.0,0.0,8.0
2020-10-03 19:00:00,Nice,Nantes,2,1,2020,Nice,Nantes,1,2,1,win,20201003_Nice_Nantes,1.9654,1.9654,73.0,87.4,2.0,0.0,4.0
2020-10-04 13:00:00,Bordeaux,Dijon,3,0,2020,Bordeaux,Dijon,1,3,0,win,20201004_Bordeaux_Dijon,1.50071,1.50071,50.0,83.9,2.0,0.0,8.0
2020-10-04 13:00:00,Brest,Monaco,1,0,2020,Brest,Monaco,1,1,0,win,20201004_Brest_Monaco,0.732353,0.732353,29.0,62.8,3.0,0.0,26.0
2020-10-04 19:00:00,Lyon,Marseille,1,1,2020,Lyon,Marseille,1,1,1,draw,20201004_Lyon_Marseille,3.14327,2.38317,68.0,82.6,1.0,0.0,13.0
2020-10-04 13:00:00,Metz,Lorient,3,1,2020,Metz,Lorient,1,3,1,win,20201004_Metz_Lorient,1.60054,0.840447,58.0,83.6,1.0,0.0,11.0
2020-10-04 11:00:00,Montpellier,Nimes,0,1,2020,Montpellier,Nimes,1,0,1,loss,20201004_Montpellier_Nimes,0.686408,0.686408,53.0,70.6,2.0,0.0,7.0
