date,time,home,away,season,round
2025-10-17,20:45,Paris S-G,Strasbourg,2025,8
2025-10-18,17:00,Nice,Lyon,2025,8
2025-10-18,19:00,Angers,Monaco,2025,8
2025-10-18,21:05,Marseille,Le Havre,2025,8
2025-10-19,15:00,Lens,Paris FC,2025,8
2025-10-19,17:15,Rennes,Auxerre,2025,8
2025-10-19,17:15,Lorient,Brest,2025,8
2025-10-19,17:15,Toulouse,Metz,2025,8
2025-10-19,20:45,Nantes,Lille,2025,8
2025-10-24,20:45,Paris FC,Nantes,2025,9
2025-10-25,17:00,Brest,Paris S-G,2025,9
2025-10-25,19:00,Monaco,Toulouse,2025,9
2025-10-25,21:05,Lens,Marseille,2025,9
2025-10-26,15:00,Lille,Metz,2025,9
2025-10-26,17:15,Auxerre,Le Havre,2025,9
2025-10-26,17:15,Angers,Lorient,2025,9
2025-10-26,17:15,Rennes,Nice,2025,9
2025-10-26,20:45,Lyon,Strasbourg,2025,9
